isbn13,Stock,Price,Discount,VendorId,dist_id,Publisher,Weight
9789360462222,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789361426384,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364287760,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9788189473044,5,1195.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789394915381,0,1680.0,35.0,NA,30,KW,0.0
9789394915381,10,1680.0,35.0,NA,92,RAJ PUBLICATIONS,0.0
9789364286381,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789394915381,0,1680.0,45.0,NA,201,KW PUBLISHERS,0.0
9780137910397,1,4945.44,45.0,NA,245,ELLIS HARWOOD,0.0
9789394915381,0,1680.0,40.0,NA,265,SEGMENT BOOKS,0.0
9789358017724,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789364286381,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364287258,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789358018363,100,199.0,50.0,NA,304,Double 9 Publisher,0.0
9789364287098,100,225.0,40.0,NA,304,Double 9 Publisher,0.0
9788192485164,10,600.0,30.0,NA,344,,0.0
9781903403228,0,9844.0,40.0,NA,22,FEDERAL TRUST FOR EDUCATION & RESEARCH,0.0
9789358712742,1,225.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9780324114959,1,11954.5,45.0,NA,245,THOMSON LEARNING,0.0
9789358019278,100,325.0,50.0,NA,304,Double 9 Publisher,0.0
9789358712742,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789364281416,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9788192485157,10,605.0,30.0,NA,344,,0.0
9789352073948,0,295.0,40.0,NA,392,,0.0
9789358711004,1,225.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358711004,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789364280723,100,199.0,40.0,NA,304,Double 9 Publisher,0.0
9788189473020,5,1500.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789364289160,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364289856,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789380179070,5,1250.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9780007785384,0,550.0,40.0,NA,30,COLLINS,0.0
9789358710892,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789360462727,100,199.0,40.0,NA,304,Double 9 Publisher,0.0
9789361423710,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9788189473969,5,1195.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9788189473983,5,1295.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789384568207,5,9000.0,50.0,NA,393,AGROTECH PRESS,0.0
9788173193460,1,650.0,40.0,NA,245,NAROSA PUBLISHING HOUSE,0.0
