isbn13,Stock,Price,Discount,VendorId,dist_id,Publisher,Weight
9780074635421,0,299.0,30.0,NA,21,MCGRAW-HILL EDUCATION (INDIA) LTD,0.0
9780890069691,0,7952.0,30.0,NA,21,ARTECH HOUSE,0.0
9781898697046,0,1688.81,30.0,NA,21,GRUB STREET,0.0
9788176256506,0,500.0,50.0,NA,87,SARUP,0.0
9789358018578,0,199.0,50.0,NA,90,DOUBLE 9 PUBLISHER,700.0
9788176256995,0,600.0,50.0,NA,87,SARUP,0.0
9781542352864,0,462.738,10.0,NA,188,PBC-DISTRIBUTORS,0.0
9780890065204,0,3976.0,30.0,NA,21,ARTECH HOUSE,0.0
9781596930360,0,10032.0,30.0,NA,21,ARTECH HOUSE,0.0
9781596932241,0,8950.0,30.0,NA,21,ARTECH HOUSE,0.0
9788131939666,0,349.0,30.0,NA,169,B.JAIN LARGE PRINT,1.0
9788173192463,0,1100.0,20.0,NA,116,NAROSA PUBLISHING HOUSE,0.0
9789358017601,0,225.0,50.0,NA,90,DOUBLE 9 PUBLISHER,700.0
9781863513821,0,595.0,33.0,NA,20,MILNER,0.0
9789359830568,0,150.0,20.0,NA,23,PRABHAKAR PRAKASHAN,0.0
9780866889148,0,7343.5,30.0,NA,21,JOINT COMMISION RESOURCES,0.0
9781590470398,0,241434.0,19.25,NA,9,SHROFF,2.0
9781596931244,0,7852.6,30.0,NA,21,ARTECH HOUSE,0.0
9780190620196,10,990.0,50.0,NA,354,HEED PUBLICATIONS,0.0
9789812458902,0,650.0,33.0,NA,20,PAGE ONE,0.0
9788185431963,0,350.0,50.0,NA,87,SARUP,0.0
9780890067031,0,994.0,30.0,NA,21,ARTECH HOUSE,0.0
9788189940874,0,499.0,30.0,NA,21,GLOBAL  MEDIA,0.0
9788192763927,0,350.0,30.0,NA,14,MUNSHIRAM MANOHARLAL PUBLISHERS PVT LTD,0.0
9789358016390,2,145.0,40.0,NA,90,DOUBLE 9 PUBLISHER,700.0
9781147984637,0,1637.0,0.0,NA,188,PBC-DISTRIBUTORS,0.0
9780000003553,0,750.0,20.0,NA,23,HBR 10 MUST READS ON TEAMS,0.0
9781580531030,0,6712.5,30.0,NA,21,ARTECH HOUSE,0.0
9781542593281,1,756.0,28.0,NA,90,RAKESH_LOOKUP_SHEET,700.0
9788174460721,0,250.0,35.0,NA,130,EXCEL-BOOKS,0.0
9781488914966,0,799.0,20.0,NA,182,SHREE BOOK,0.0
9780890067079,0,4671.8,30.0,NA,21,ARTECH HOUSE,0.0
9781596933170,0,12126.8,30.0,NA,21,ARTECH HOUSE,0.0
9781608074747,0,9944.0,30.0,NA,21,ARTECH HOUSE,0.0
9781545490846,0,800.0,28.0,NA,90,INGRAM SRECOM,213.0
9789357489010,1,1.0,0.0,NA,90,WORLD BOOK FAIR 2025,258.0
9780683303551,0,2498.49,35.0,NA,129,LWW,0.0
